source_db2,hg19_chr_start_end,chrom_text,tx_start,tx_end,strand,gene_symbol,ogi_imprinting_Status,ogi_Expressed_Allele,Gene_id,Location,your_input,tax_id,entrez,title,location,chrom,status,type,aliases,database,id_position,id_ensembl,id_assembly,cds_start,cds_end,exon_count,exon_starts,exon_ends,canonical,source
gi,chr5_96211643_96255406,chr5,96211643,96255406,+,ERAP2,Imprinted,Paternal,ERAP2,5q15 ,ERAP2,9606,64167,endoplasmic reticulum aminopeptidase 2,5q15,5,active,protein-coding,"[L-RAP, ERAP2, AF191545, CCDS4086, HGNC:29499, LRAP, uc003kmq.4, CCDS87316, ENSG00000164308, NM_022350, CCDS87317, OTTHUMG00000128718, Q6P179, MIM:609497]",EpiMed GENSYM,uc003kmq.3,,GRCh37,96215389,96253309,19,"[96211643, 96215267, 96219495, 96222358, 96224888, 96228002, 96230949, 96232076, 96232435, 96235824, 96237209, 96237977, 96239080, 96244664, 96245283, 96248340, 96249020, 96251391, 96253165]","[96212231, 96215964, 96219634, 96222493, 96225009, 96228157, 96231063, 96232208, 96232567, 96235893, 96237385, 96238057, 96239264, 96244821, 96245468, 96248502, 96249161, 96251473, 96255406]",TRUE,ucsc
gi,chr7_27282163_27286192,chr7,27282163,27286192,+,EVX1,Predicted,Paternal,EVX1,7p15-p14 ,EVX1,9606,2128,even-skipped homeobox 1,7p15.2,7,active,protein-coding,"[MIM:142996, ENSG00000106038, uc003szd.2, P49640, EVX1, MGI:95461, RGD:11434685, CCDS5413, OTTHUMG00000023093, HGNC:3506, NM_001304519, EVX-1]",EpiMed GENSYM,uc003szd.1,,GRCh37,27282649,27286044,3,"[27282163, 27284666, 27285504]","[27283076, 27284923, 27286192]",TRUE,ucsc
gi_otago,chr6_3849631_3851551,chr6,3849631,3851551,+,FAM50B,Imprinted,Paternal,FAM50B,6p25,FAM50B,9606,26240,family with sequence similarity 50 member B,6p25.2,6,active,protein-coding,"[Q9Y247, ENSG00000238158, OTTHUMG00000014147, MGI:1351640, MIM:614686, CCDS4487, X5L, HGNC:18789, RGD:1563458, ENSG00000145945, NM_012135, Y18504, uc063lni.1, D6S2654E, FAM50B]",EpiMed GENSYM,uc003mvu.3,,GRCh37,3850045,3851023,2,"[3849631, 3850022]","[3849720, 3851551]",FALSE,ucsc
gi,chr7_150773707_150777970,chr7,150773707,150777970,-,FASTK,Predicted,Maternal,FASTK,7q35 AS ,FASTK,9606,10922,Fas activated serine/threonine kinase,7q36.1,7,active,protein-coding,"[MIM:606965, NM_006712, OTTHUMG00000158694, FASTK, uc003wix.3, MGI:1913837, Q14296, RGD:1311601, CCDS59088, FAST, HGNC:24676, ENSG00000164896, CCDS5918, CCDS5919]",EpiMed GENSYM,uc003wix.2,,GRCh37,150773811,150777853,10,"[150773707, 150773999, 150774187, 150774396, 150774707, 150774965, 150775648, 150775928, 150776586, 150777771]","[150773919, 150774114, 150774323, 150774488, 150774867, 150775179, 150775788, 150776108, 150777009, 150777970]",TRUE,ucsc
gi,chr12_133067156_133161773,chr12,133067156,133161773,+,FBRSL1,Predicted,Maternal,FBRSL1,12q24,FBRSL1,9606,57666,fibrosin like 1,12q24.33,12,active,protein-coding,"[Q9HCM7, RGD:1563342, MGI:1920907, KIAA1545, uc001ukf.4, CCDS45010, FBRSL1, HGNC:29308, ENSG00000112787, OTTHUMG00000167991, NM_001142641]",EpiMed GENSYM,uc001ukf.3,,GRCh37,133067156,133160364,17,"[133067156, 133084738, 133102319, 133104538, 133124588, 133144066, 133146511, 133146920, 133147892, 133148873, 133149112, 133150904, 133153384, 133158024, 133158326, 133158647, 133159556]","[133067447, 133084936, 133102409, 133104574, 133124618, 133144112, 133146827, 133147126, 133148110, 133148930, 133149208, 133151150, 133153517, 133158102, 133158410, 133158852, 133161773]",TRUE,ucsc
gi,chr14_53323988_53417815,chr14,53323988,53417815,-,FERMT2,Predicted,Paternal,FERMT2,14q22,FERMT2,9606,10979,fermitin family member 2,14q22.1,14,active,protein-coding,"[mig-2, ENSG00000073712, MIG2, PLEKHC1, MIM:607746, UNC112B, CCDS9713, HGNC:15767, NM_006832, uc001xae.4, Z24725, Q96AC1, MGI:2385001, RGD:1311799, OTTHUMG00000140309, KIND2, UNC112, FERMT2, CCDS45108, CCDS45107]",EpiMed GENSYM,uc001xae.3,,GRCh37,53325094,53417286,15,"[53323988, 53326290, 53327058, 53331118, 53331464, 53339516, 53340894, 53341940, 53345299, 53347753, 53347961, 53360010, 53385840, 53417129, 53417638]","[53325268, 53326432, 53327183, 53331340, 53331571, 53339641, 53340944, 53342075, 53345407, 53347856, 53348187, 53360145, 53386074, 53417295, 53417815]",TRUE,ucsc
gi,chr4_1004939_1020686,chr4,1004939,1020686,+,FGFRL1,Predicted,Maternal,FGFRL1,4p16 ,FGFRL1,9606,53834,fibroblast growth factor receptor like 1,4p16.3,4,active,protein-coding,"[MIM:605830, FGFR-5, CCDS3344, FHFR, FGFRL1, NM_021923, FGFR5, MGI:2150920, HGNC:3693, ENSG00000127418, OTTHUMG00000118998, RGD:735156, uc062uil.1, Q8N441]",EpiMed GENSYM,uc003gce.3,,GRCh37,1006273,1019135,7,"[1004939, 1006257, 1015990, 1017428, 1017604, 1018098, 1018692]","[1005084, 1006352, 1016263, 1017509, 1017889, 1018452, 1020686]",FALSE,ucsc
gi,chr16_86544132_86548070,chr16,86544132,86548070,+,FOXF1,Conflicting,Maternal,FOXF1,16q24 ,FOXF1,9606,2294,forkhead box F1,16q24.1,16,active,protein-coding,"[FREAC1, ENSG00000103241, HGNC:3809, MGI:1347470, FOXF1, uc002fjl.4, CCDS10957, ACDMPV, Q12946, RGD:1584229, FKHL5, U13219, NM_001451, MIM:601089, OTTHUMG00000137651]",EpiMed GENSYM,uc002fjl.3,,GRCh37,86544175,86546691,2,"[86544132, 86546530]","[86545154, 86548070]",TRUE,ucsc
gi,chr14_29236277_29239483,chr14,29236277,29239483,+,FOXG1,Predicted,Paternal,FOXG1,14q13 ,FOXG1,9606,2290,forkhead box G1,14q12,14,active,protein-coding,"[MIM:164874, uc001wqe.5, FOXG1, HBF2, OTTHUMG00000140187, NM_005249, CCDS9636, FHKL3, FKH2, RGD:2619, FOXG1B, FOXG1A, MGI:1347464, FOXG1C, KHL2, ENSG00000176165, HBF-2, HFK2, HBF-1, HFK1, HBF-3, HFK3, BF1, BF2, P55316, HBF-G2, FKHL2, FKHL1, FKHL4, FKHL3, QIN, HGNC:3811]",EpiMed GENSYM,uc001wqe.4,,GRCh37,29236485,29237955,1,[29236277],[29239483],TRUE,ucsc
gi,chr1_24171571_24194859,chr1,24171571,24194859,-,FUCA1,Predicted,Paternal,FUCA1,1p34 AS ,FUCA1,9606,2517,alpha-L-fucosidase 1,1p36.11,1,active,protein-coding,"[BC017338, NM_000147, FUCA1, OTTHUMG00000002965, FUCA, MGI:95593, MIM:612280, CCDS244, ENSG00000179163, uc001bie.5, P04066, RGD:2636, HGNC:4006]",EpiMed GENSYM,uc001bie.3,,GRCh37,24172204,24194776,8,"[24171571, 24172563, 24175138, 24180849, 24186287, 24189623, 24191980, 24194387]","[24172345, 24172663, 24175329, 24181050, 24186393, 24189761, 24192115, 24194859]",TRUE,ucsc
gi,chr4_144257982_144395718,chr4,144257982,144395718,+,GAB1,Not_Imprinted,Biallelic,GAB1,4q31,GAB1,9606,2549,GRB2 associated binding protein 1,4q31.21,4,active,protein-coding,"[U43885, ENSG00000109458, MIM:604439, GAB1, NM_002039, CCDS3760, uc003ijd.4, MGI:108088, DFNB26, OTTHUMG00000161432, RGD:1311085, CCDS3759, HGNC:4066, Q13480, ENSG00000101464]",EpiMed GENSYM,uc003ijd.3,,GRCh37,144258341,144390342,11,"[144257982, 144336629, 144354643, 144359151, 144360954, 144361231, 144378832, 144380537, 144381516, 144387255, 144390183]","[144258413, 144336924, 144354869, 144359753, 144361040, 144361535, 144378922, 144380631, 144381640, 144387378, 144395718]",TRUE,ucsc
gi,chr15_27111865_27194357,chr15,27111865,27194357,+,GABRA5,Conflicting,Paternal,GABRA5,15q11,GABRA5,9606,2558,gamma-aminobutyric acid type A receptor subunit alpha5,15q12,15,active,protein-coding,"[NM_000810, P31644, GABRA5, EIEE79, MIM:137142, OTTHUMG00000171824, CCDS45194, MGI:95617, HGNC:4079, uc001zbd.3, ENSG00000186297, RGD:61859]",EpiMed GENSYM,uc001zbd.2,,GRCh37,27114395,27193380,11,"[27111865, 27113875, 27114321, 27125992, 27128312, 27128483, 27159949, 27182331, 27185071, 27188361, 27193080]","[27112258, 27113940, 27114481, 27126114, 27128380, 27128704, 27160032, 27182475, 27185224, 27188573, 27194357]",TRUE,ucsc
gi,chr15_26788693_27018223,chr15,26788693,27018223,-,GABRB3,Conflicting,Paternal,GABRB3,15q11,GABRB3,9606,2562,gamma-aminobutyric acid type A receptor subunit beta3,15q12,15,active,protein-coding,"[GABRB3, EIEE43, CCDS10019, CCDS10018, RGD:2651, P28472, HGNC:4083, MGI:95621, NM_000814, CCDS53920, OTTHUMG00000129231, CCDS53921, ECA5, uc001zaz.5, MIM:137192, ENSG00000166206]",EpiMed GENSYM,uc001zaz.3,,GRCh37,26792939,27018109,9,"[26788693, 26806078, 26812727, 26825465, 26828478, 26866460, 27017548, 27017827, 27018029]","[26793281, 26806323, 26812880, 26825603, 26828561, 26866681, 27017616, 27017919, 27018223]",TRUE,ucsc
gi,chr15_27216428_27778373,chr15,27216428,27778373,+,GABRG3,Conflicting,Paternal,GABRG3,15q12 ,GABRG3,9606,2567,gamma-aminobutyric acid type A receptor subunit gamma3,15q12,15,active,protein-coding,"[NM_001270873, CCDS45195, uc001zbg.3, GABRG3, HGNC:4088, MGI:95624, OTTHUMG00000044462, Q99928, RGD:621735, MIM:600233, ENSG00000182256, CCDS59251]",EpiMed GENSYM,uc001zbg.2,,GRCh37,27216682,27778027,10,"[27216428, 27222148, 27271900, 27571955, 27573952, 27725795, 27765117, 27772578, 27773078, 27777745]","[27216735, 27222297, 27271968, 27572176, 27574035, 27725933, 27765270, 27772775, 27773138, 27778373]",TRUE,ucsc
gi,chr18_29843483_30050447,chr18,29843483,30050447,-,GAREM1,Predicted,Paternal,FAM59A,18q12,FAM59A,9606,64762,GRB2 associated regulator of MAPK1 subtype 1,18q12.1,18,active,protein-coding,"[FAM59A, Q9H706, RGD:1591842, CCDS11905, uc002kxk.3, NM_022751, GAREM, AK025263, CCDS56057, Gm944, OTTHUMG00000132273, ENSG00000141441, GAREM1, MIM:617998, C18orf11, HGNC:26136, FLJ21610, MGI:2685790]",EpiMed GENALIAS,uc002kxk.2,,GRCh37,29847833,30050391,6,"[29843483, 29850179, 29866993, 29890155, 29972857, 30050270]","[29848728, 29850346, 29868166, 29890286, 29972998, 30050447]",TRUE,ucsc
gi,chr10_8096666_8117164,chr10,8096666,8117164,+,GATA3,Predicted,Paternal,GATA3,10p15 ,GATA3,9606,2625,GATA binding protein 3,10p14,10,active,protein-coding,"[uc001ika.4, NM_001002295, CCDS31143, CCDS7083, MGI:95663, HGNC:4172, MIM:131320, GATA3, OTTHUMG00000017640, RGD:621250, HDR, X55122, HDRS, P23771, ENSG00000107485]",EpiMed GENSYM,uc001ika.3,,GRCh37,8097618,8115986,6,"[8096666, 8097249, 8100267, 8105958, 8111435, 8115701]","[8096854, 8097859, 8100804, 8106101, 8111561, 8117164]",TRUE,ucsc
gi,chr15_45653321_45670980,chr15,45653321,45670980,-,GATM,Unknown,Unknown,GATM,15q21,GATM,9606,2628,glycine amidinotransferase,15q21.1,15,active,protein-coding,"[P50440, AGAT, CCDS10122, CCDS3, MGI:1914342, OTTHUMG00000131427, ENSG00000171766, GATM, AT, NM_001482, HGNC:4175, uc001zvc.4, S68805, MIM:602360, RGD:71090]",EpiMed GENSYM,uc001zvc.3,,GRCh37,45654306,45670651,9,"[45653321, 45656097, 45656994, 45658243, 45658568, 45660267, 45661523, 45668798, 45670582]","[45654419, 45656214, 45657058, 45658408, 45658706, 45660458, 45661719, 45669017, 45670980]",TRUE,ucsc
gi,chr20_42875897_42909557,chr20,42875897,42909557,+,GDAP1L1,Imprinted,Paternal,GDAP1L1,20q12 ,GDAP1L1,9606,78997,ganglioside induced differentiation associated protein 1 like 1,20q13.12,20,active,protein-coding,"[ENSG00000124194, Q96MZ0, CCDS13328, RGD:1304960, uc002xlq.5, OTTHUMG00000032530, CCDS74726, CCDS74725, HGNC:4213, CCDS74727, dJ995J12.1.1, GDAP1L1, MGI:2385163, NM_024034, dJ881L22.1]",EpiMed GENSYM,uc002xlq.4,,GRCh37,42875974,42907940,6,"[42875897, 42885792, 42887073, 42891869, 42893084, 42907596]","[42876154, 42885985, 42887247, 42891967, 42893199, 42909557]",TRUE,ucsc
gi,chr1_92940317_92952433,chr1,92940317,92952433,-,GFI1,Predicted,Paternal,GFI1,1p22 AS ,GFI1,9606,2672,growth factor independent 1 transcriptional repressor,1p22.1,1,active,protein-coding,"[CCDS30773, ZNF163, GFI1, GFI-1, RGD:2680, MGI:103170, uc001dow.5, LRG_63, NM_005263, SCN2, GFI1A, OTTHUMG00000010897, Q99684, MIM:600871, U67369, HGNC:4237, ENSG00000162676]",EpiMed GENSYM,uc001dow.4,,GRCh37,92941585,92949044,7,"[92940317, 92944144, 92945904, 92946157, 92948420, 92948929, 92952282]","[92941764, 92944310, 92946042, 92946645, 92948603, 92949143, 92952433]",TRUE,ucsc
gi,chr7_42000547_42276618,chr7,42000547,42276618,-,GLI3,Predicted,Maternal,GLI3,7p13 AS ,GLI3,9606,2737,GLI family zinc finger 3,7p14.1,7,active,protein-coding,"[NM_000168, PAPB, PAPA, GLI3-190, PAPA1, CCDS5465, MIM:165240, GLI3FL, GLI3, MGI:95729, RGD:620272, uc011kbh.3, PAP-A, ACLS, P10071, PHS, HGNC:4319, ENSG00000106571, OTTHUMG00000023630, PPDIV, GCPS]",EpiMed GENSYM,uc011kbh.2,,GRCh37,42003927,42262852,15,"[42000547, 42007193, 42011935, 42017156, 42018197, 42063066, 42064862, 42065797, 42079636, 42084982, 42088089, 42116350, 42187824, 42262728, 42276569]","[42006239, 42007521, 42012226, 42017321, 42018347, 42063207, 42064976, 42066011, 42079838, 42085129, 42088295, 42116456, 42188067, 42262894, 42276618]",TRUE,ucsc
gi_otago,chr9_3824127_4300035,chr9,3824127,4300035,-,GLIS3,Imprinted,Paternal,GLIS3,9p24,GLIS3,9606,169792,GLIS family zinc finger 3,9p24.2,9,active,protein-coding,"[Q8NEA6, ENSG00000107249, GLIS3, OTTHUMG00000019463, RGD:1565505, NM_152629, CCDS6451, NDH, MIM:610192, uc003zhx.2, CCDS43784, BC033899, ZNF515, MGC33662, HGNC:28510, MGI:2444289]",EpiMed GENSYM,uc003zhx.1,,GRCh37,3828271,4286425,11,"[3824127, 3829309, 3856008, 3879426, 3898690, 3932359, 3937027, 4117767, 4125733, 4286037, 4299420]","[3828408, 3829492, 3856184, 3879595, 3898835, 3932470, 3937189, 4118881, 4125941, 4286523, 4300035]",TRUE,ucsc
added_list_fc,chr18_11751470_11885683,chr18,11751470,11885683,+,GNAL,,,GNAL,18p11.21,2774,9606,2774,G protein subunit alpha L,18p11.21,18,active,protein-coding,"[NM_182978, CCDS58614, MIM:139312, DYT25, P38405, MGI:95774, CCDS11852, CCDS11851, NM_002071, HGNC:4388, OTTHUMG00000131660, GNAL, uc010dkz.4, RGD:2715, ENSG00000141404, AF493893]",EpiMed GENUID,uc010dkz.3,,GRCh37,11752432,11881134,13,"[11751470, 11752330, 11752851, 11753626, 11753824, 11824916, 11862393, 11864531, 11867166, 11868541, 11872266, 11876619, 11880987]","[11751705, 11752577, 11752924, 11753681, 11753944, 11825014, 11862448, 11864605, 11867225, 11868662, 11872397, 11876687, 11885683]",TRUE,ucsc
gi_otago,chr20_57414794_57486250,chr20,57414794,57486250,+,GNAS,Imprinted,Isoform_Dependent,GNAS,20q13,GNAS,9606,2778,GNAS complex locus,20q13.32,20,active,protein-coding,"[SgVI, CCDS82633, PITA3, AHO, P63092, OTTHUMG00000033069, NM_000516, uc061ybx.1, CCDS42892, GSA, MGI:95777, GPSA, RGD:2716, ENSG00000087460, GNASXL, M21142, O95467, C20orf45, GSP, MIM:139320, POH, HGNC:4392, NESP, CCDS46624, CCDS13471, CCDS46623, CCDS13472, CCDS46622, GNAS1, GNAS, SCG6, NESP55, P84996, Q5JWF2]",EpiMed GENSYM,uc002xzt.3,,GRCh37,57415898,57485884,13,"[57414794, 57470666, 57473995, 57478585, 57478726, 57480437, 57484216, 57484404, 57484575, 57484738, 57485005, 57485388, 57485737]","[57415941, 57470739, 57474040, 57478640, 57478846, 57480535, 57484271, 57484478, 57484634, 57484859, 57485136, 57485456, 57486250]",FALSE,ucsc
gi,chr20_57393972_57425958,chr20,57393972,57425958,-,GNAS-AS1,Imprinted,Paternal,GNASAS,20q13,GNASAS,9606,149775,GNAS antisense RNA 1,20q13.32,20,active,ncRNA,"[GNAS-AS1, OTTHUMG00000060481, SANG, uc002xzs.3, GNAS1AS, ENSG00000235590, MGI:1861674, GNAS-AS, MIM:610540, NCRNA00075, NESPAS, NESP-AS, NR_002785, GNASAS, HGNC:24872, URS000075E859, AJ251759]",EpiMed GENALIAS,uc002xzs.2,,GRCh37,57393972,57393972,5,"[57393972, 57416991, 57417487, 57423933, 57425584]","[57394310, 57417284, 57417600, 57423972, 57425958]",TRUE,ucsc
added_list_fc,chr7_93535819_93540485,chr7,93535819,93540485,+,GNGT1,,,GNGT1,7q21.3,2792,9606,2792,G protein subunit gamma transducin 1,7q21.3,7,active,protein-coding,"[MIM:189970, RGD:1595475, MGI:109165, OTTHUMG00000022908, NM_021955, GNG1, GNGT1, HGNC:4411, P63211, ENSG00000127928, CCDS5633, uc003unc.2]",EpiMed GENUID,uc003unc.1,,GRCh37,93536058,93540230,3,"[93535819, 93536047, 93540101]","[93535956, 93536154, 93540485]",TRUE,ucsc
gi_otago,chr2_207040041_207082771,chr2,207040041,207082771,-,GPR1,Imprinted,Paternal,GPR1,2q33,GPR1,9606,2825,G protein-coupled receptor 1,2q33.3,2,active,protein-coding,"[GPR1, uc031rqw.3, ENSG00000283448, P46091, CCDS2368, MGI:2385324, MIM:600239, HGNC:4463, OTTHUMG00000132894, ENSG00000183671, RGD:2728, NM_001098199]",EpiMed GENSYM,uc031rqw.1,,GRCh37,207040903,207041971,4,"[207040041, 207078030, 207082086, 207082532]","[207041999, 207078149, 207082337, 207082771]",TRUE,ucsc
gi,chr8_145729464_145732555,chr8,145729464,145732555,+,GPT,Predicted,Maternal,GPT,8q24,GPT,9606,2875,glutamic--pyruvic transaminase,8q24.3,8,active,protein-coding,"[MIM:138200, AAT1, P24298, GPT1, GPT, NM_005309, OTTHUMG00000165176, CCDS6430, ENSG00000172269, uc033cct.2, HGNC:4552, ALT1, MGI:95802, RGD:621720, ENSG00000167701]",EpiMed GENSYM,uc003zdh.4,,GRCh37,145729687,145732383,11,"[145729464, 145729986, 145730153, 145730380, 145730628, 145731230, 145731377, 145731614, 145731883, 145732113, 145732292]","[145729849, 145730076, 145730262, 145730514, 145730872, 145731310, 145731514, 145731789, 145732039, 145732226, 145732555]",FALSE,ucsc
gi_otago,chr7_50657759_50860666,chr7,50657759,50860666,-,GRB10,Imprinted,Isoform_Dependent,GRB10,7p12-p11,GRB10,9606,2887,growth factor receptor bound protein 10,7p12.1,7,active,protein-coding,"[OTTHUMG00000150622, RGD:1566234, MGI:103232, Q13322, MEG1, Grb-10, HGNC:4564, RSS, NM_005311, CCDS43583, ENSG00000106070, IRBP, GRB-IR, MIM:601523, CCDS43582, GRB10, CCDS47586, uc003tpl.3, CCDS87503, CCDS87504]",EpiMed GENSYM,uc003tpl.2,,GRCh37,50660648,50778604,18,"[50657759, 50663133, 50671694, 50672007, 50672986, 50674033, 50680437, 50682466, 50683906, 50685767, 50686866, 50694518, 50737418, 50742132, 50771517, 50778571, 50823583, 50860138]","[50660795, 50663227, 50671782, 50672074, 50673103, 50674111, 50680536, 50682577, 50684044, 50685836, 50686982, 50694675, 50737560, 50742355, 50771605, 50778687, 50823753, 50860666]",TRUE,ucsc
gi_otago,chr11_2016405_2019065,chr11,2016405,2019065,-,H19,Imprinted,Maternal,H19,11p15,H19,9606,283120,H19 imprinted maternally expressed transcript,11p15.5,11,active,ncRNA,"[uc057xvv.1, ENSG00000130600, MIM:103280, ASM1, OTTHUMG00000012477, D11S813E, URS0000812128, H19, WT2, AF087017, NR_002196, LINC00008, ASM, HGNC:4713, MIR675HG, NCRNA00008, BWS]",EpiMed GENSYM,uc001lva.4,,GRCh37,2016405,2016405,5,"[2016405, 2017105, 2017308, 2017516, 2017747]","[2017018, 2017228, 2017421, 2017651, 2019065]",FALSE,ucsc
gi,chr1_228645807_228646259,chr1,228645807,228646259,+,H2BU1,Predicted,Maternal,HIST3H2BB,1q42,HIST3H2BB,9606,128312,H2B.U histone 1,1q42.13,1,active,protein-coding,"[NM_175055, AY131981, MGI:1922442, HGNC:20514, ENSG00000196890, uc001hsz.4, H2Bb, RGD:1583885, MIM:615046, CCDS1574, HIST3H2BB, Q8N257, OTTHUMG00000040045]",EpiMed GENALIAS,uc001hsz.3,,GRCh37,228645830,228646211,1,[228645807],[228646259],TRUE,ucsc
gi,chr3_193853930_193856401,chr3,193853930,193856401,+,HES1,Predicted,Paternal,HES1,3q28-q29 ,HES1,9606,3280,hes family bHLH transcription factor 1,3q29,3,active,protein-coding,"[Q14469, uc003ftq.3, MGI:104853, NM_005524, MIM:139605, ENSG00000114315, HGNC:5192, HES-1, HHL, HRY, RGD:62081, FLJ20408, bHLHb39, CCDS3305, OTTHUMG00000155984, Hes1, ENSG00000160221, HES1, L19314]",EpiMed GENSYM,uc003ftq.2,,GRCh37,193854169,193856022,4,"[193853930, 193854405, 193854749, 193855471]","[193854277, 193854501, 193854837, 193856401]",TRUE,ucsc
added_list_fc,chr6_26087508_26095469,chr6,26087508,26095469,+,HFE,,,HFE,6p22.2,3077,9606,3077,homeostatic iron regulator,6p22.2,6,active,protein-coding,"[HH, NM_000410, OTTHUMG00000016348, HFE, RGD:2793, MVCD7, CCDS4582, CCDS4581, CCDS4580, uc003nfx.2, ENSG00000010704, CCDS47387, Q30201, HLA-H, LRG_748, CCDS47386, CCDS75412, HFE1, TFQTL2, CCDS54975, CCDS54974, CCDS4579, CCDS4578, MGI:109191, MIM:613609, HGNC:4886]",EpiMed GENUID,uc003nfx.1,,GRCh37,26087668,26094454,6,"[26087508, 26091068, 26091541, 26092912, 26093346, 26094413]","[26087744, 26091332, 26091817, 26093188, 26093460, 26095469]",TRUE,ucsc
gi,chr20_30102240_30157370,chr20,30102240,30157370,+,HM13,Unknown,Unknown,HM13,20q11,HM13,9606,81502,histocompatibility minor 13,20q11.21,20,active,protein-coding,"[ENSG00000101294, HM13, OTTHUMG00000032175, PSL3, SPPL1, HGNC:16435, IMPAS-1, SPP, CCDS13182, CCDS13183, NM_178580, AL110115, MIM:607106, PSENL3, IMP1, uc002wwc.5, MSTP086, H13, MGI:95886, RGD:1308946, Q8TCT9, CCDS42861, dJ324O17.1, IMPAS]",EpiMed GENSYM,uc002wwc.3,,GRCh37,30102354,30157022,13,"[30102240, 30115286, 30125981, 30132749, 30136831, 30137009, 30137866, 30142548, 30147413, 30149436, 30154012, 30155880, 30156922]","[30102537, 30115385, 30126064, 30132838, 30136917, 30137135, 30137924, 30142632, 30147450, 30149539, 30154098, 30156027, 30157370]",TRUE,ucsc
gi,chr7_27220775_27224835,chr7,27220775,27224835,-,HOXA11,Predicted,Maternal,HOXA11,7p15-p14 AS ,HOXA11,9606,3207,homeobox A11,7p15.2,7,active,protein-coding,"[HOX1, MGI:96172, MIM:142958, OTTHUMG00000023437, LRG_561, CCDS5411, RGD:1564605, NM_005523, uc003syx.4, HOXA11, RUSAT1, ENSG00000005073, HOX1I, HGNC:5101, P31270]",EpiMed GENSYM,uc003syx.3,,GRCh37,27222414,27224763,2,"[27220775, 27224054]","[27222647, 27224835]",TRUE,ucsc
gi,chr7_27139972_27142394,chr7,27139972,27142394,-,HOXA2,Predicted,Maternal,HOXA2,7p15-p14 AS ,HOXA2,9606,3199,homeobox A2,7p15.2,7,active,protein-coding,"[O43364, ENSG00000105996, MGI:96174, MIM:604685, OTTHUMG00000023208, MCOHI, NM_006735, HOX1K, HGNC:5103, CCDS5403, RGD:11468112, HOXA2, uc003syh.4]",EpiMed GENSYM,uc003syh.3,,GRCh37,27140344,27142119,2,"[27139972, 27141728]","[27141084, 27142394]",TRUE,ucsc
gi,chr7_27145808_27166639,chr7,27145808,27166639,-,HOXA3,Predicted,Maternal,HOXA3,7p15-p14 AS ,HOXA3,9606,3200,homeobox A3,7p15.2,7,active,protein-coding,"[HOX1, MIM:142954, MGI:96175, OTTHUMG00000023209, ENSG00000105997, O43365, RGD:1561431, HGNC:5104, NM_030661, CCDS5404, HOXA3, uc064cfr.1, HOX1E]",EpiMed GENSYM,uc003syk.3,ENST00000612286,GRCh37,27147533,27150259,4,"[27145808, 27149733, 27162177, 27166504]","[27148339, 27150379, 27162261, 27166639]",FALSE,ucsc
gi,chr7_27168125_27170399,chr7,27168125,27170399,-,HOXA4,Predicted,Maternal,HOXA4,7p15-p14 AS ,HOXA4,9606,3201,homeobox A4,7p15.2,7,active,protein-coding,"[HOX1, MIM:142953, ENSG00000197576, uc064cgf.1, MGI:96176, HGNC:5105, Q00056, NM_002141, CCDS5405, RGD:2814, OTTHUMG00000023213, HOXA4, HOX1D]",EpiMed GENSYM,uc003sym.4,ENST00000610970,GRCh37,27168843,27170352,2,"[27168125, 27169736]","[27169190, 27170399]",FALSE,ucsc
gi,chr7_27180670_27183287,chr7,27180670,27183287,-,HOXA5,Predicted,Maternal,HOXA5,7p15-p14 AS ,HOXA5,9606,3202,homeobox A5,7p15.2,7,active,protein-coding,"[MIM:142952, HOX1, ENSG00000106004, RGD:620609, NM_019102, P20719, MGI:96177, CCDS5406, HOX1C, uc003syn.2, OTTHUMG00000023214, HOX1.3, HOXA5, HGNC:5106]",EpiMed GENSYM,uc003syn.2,ENST00000222726,GRCh37,27181453,27183226,2,"[27180670, 27182664]","[27181704, 27183287]",TRUE,ucsc
gi,chr17_46620018_46622393,chr17,46620018,46622393,-,HOXB2,Predicted,Maternal,HOXB2,17q21-q22 AS ,HOXB2,9606,3212,homeobox B2,17q21.32,17,active,protein-coding,"[HOX2, CCDS11527, MGI:96183, MIM:142967, NM_002145, K8, P14652, OTTHUMG00000159930, HGNC:5113, uc002inm.5, ENSG00000173917, RGD:2319509, Hox-2.8, HOXB2, HOX2H]",EpiMed GENSYM,uc002inm.3,,GRCh37,46620429,46622273,2,"[46620018, 46621882]","[46621109, 46622393]",TRUE,ucsc
gi,chr17_46626231_46667631,chr17,46626231,46667631,-,HOXB3,Predicted,Maternal,HOXB3,17q21,HOXB3,9606,3213,homeobox B3,17q21.32,17,active,protein-coding,"[HOX2, MGI:96184, NM_001330322, MIM:142966, ENSG00000120093, uc010dbf.4, Hox-2.7, CCDS11528, CCDS82153, CCDS82154, NM_002146, P14651, RGD:1310780, HGNC:5114, OTTHUMG00000159922, HOXB3, HOX2G]",EpiMed GENSYM,uc010dbf.3,,GRCh37,46627695,46629836,5,"[46626231, 46629388, 46632892, 46651198, 46667486]","[46628543, 46629994, 46632980, 46651376, 46667631]",TRUE,ucsc
